time,temperature,pressure
1704067200000,20.0,1.01
1704067260000,20.4,1.02
1704067320000,21.1,1.02
1704067380000,22.3,1.03
1704067440000,24.0,1.04
1704067500000,26.2,1.06
1704067560000,29.1,1.08
1704067620000,32.7,1.11
1704067680000,36.8,1.15
1704067740000,41.3,1.2
1704067800000,46.0,1.26
1704067860000,50.4,1.31
1704067920000,54.1,1.35
1704067980000,56.7,1.38
1704068040000,58.2,1.4
1704068100000,58.6,1.41
1704068160000,58.1,1.4
1704068220000,57.0,1.38
1704068280000,55.4,1.35
1704068340000,53.2,1.31
1704068400000,50.3,1.27
1704068460000,46.8,1.22
1704068520000,42.9,1.18
1704068580000,38.8,1.14
1704068640000,34.7,1.1
1704068700000,30.9,1.07
1704068760000,27.5,1.05
1704068820000,24.8,1.03
1704068880000,22.8,1.02
1704068940000,21.5,1.01
