time,n2_flow_setpoint,n2_flow_measured,h2_flow_setpoint,h2_flow_measured
1704067200000,0.0,0.00,0.0,0.09
1704067230000,0.0,0.06,0.0,0.23
1704067260000,0.0,0.12,0.0,0.32
1704067290000,0.0,0.11,0.0,0.31
1704067320000,0.0,0.04,0.0,0.18
1704067350000,0.0,0.00,0.0,0.00
1704067380000,0.0,0.00,0.0,0.00
1704067410000,0.0,0.00,0.0,0.00
1704067440000,0.0,0.06,0.0,0.00
1704067470000,0.0,0.12,0.0,0.09
1704067500000,10.0,3.61,30.0,9.83
1704067530000,10.0,5.81,30.0,16.45
1704067560000,10.0,7.20,30.0,20.88
1704067590000,10.0,8.12,30.0,23.77
1704067620000,10.0,8.78,30.0,25.62
1704067650000,10.0,9.27,30.0,26.84
1704067680000,10.0,9.60,30.0,27.72
1704067710000,10.0,9.77,30.0,28.42
1704067740000,10.0,9.82,30.0,29.02
1704067770000,10.0,9.80,30.0,29.50
1704067800000,20.0,13.31,60.0,39.43
1704067830000,20.0,15.66,60.0,46.10
1704067860000,20.0,17.24,60.0,50.51
1704067890000,20.0,18.28,60.0,53.41
1704067920000,20.0,18.92,60.0,55.34
1704067950000,20.0,19.26,60.0,56.69
1704067980000,20.0,19.44,60.0,57.73
1704068010000,20.0,19.58,60.0,58.55
1704068040000,20.0,19.73,60.0,59.18
1704068070000,20.0,19.89,60.0,59.61
1704068100000,20.0,20.00,60.0,59.82
1704068130000,20.0,20.03,60.0,59.84
1704068160000,20.0,19.98,60.0,59.75
1704068190000,20.0,19.91,60.0,59.65
1704068220000,20.0,19.88,60.0,59.63
1704068250000,20.0,19.93,60.0,59.72
1704068280000,20.0,20.02,60.0,59.91
1704068310000,20.0,20.09,60.0,60.11
1704068340000,20.0,20.09,60.0,60.24
1704068370000,20.0,20.01,60.0,60.25
1704068400000,20.0,19.93,60.0,60.13
1704068430000,20.0,19.90,60.0,59.94
1704068460000,20.0,19.94,60.0,59.78
1704068490000,20.0,20.03,60.0,59.72
1704068520000,8.0,15.89,24.0,48.27
1704068550000,8.0,13.16,24.0,40.60
1704068580000,8.0,11.31,24.0,35.46
1704068610000,8.0,10.07,24.0,31.96
1704068640000,8.0,9.29,24.0,29.49
1704068670000,8.0,8.85,24.0,27.69
1704068700000,8.0,8.62,24.0,26.36
1704068730000,8.0,8.48,24.0,25.43
1704068760000,8.0,8.34,24.0,24.84
1704068790000,8.0,8.17,24.0,24.55
1704068820000,8.0,8.03,24.0,24.48
1704068850000,8.0,7.97,24.0,24.50
1704068880000,8.0,7.99,24.0,24.50
1704068910000,8.0,8.06,24.0,24.42
1704068940000,8.0,8.11,24.0,24.24
